feature,level,n,wins,places,win_rate_pct,place_rate_pct,win_lift,place_lift
在港日數(逐半年),1092-1273日,5209,279,963,5.4,18.5,0.667,0.772
在港日數(逐半年),1274-1455日,3192,191,618,6.0,19.4,0.747,0.808
在港日數(逐半年),1456-1637日,1922,113,343,5.9,17.8,0.734,0.747
在港日數(逐半年),1638-1819日,914,45,165,4.9,18.0,0.614,0.753
在港日數(逐半年),1820-2001日,476,21,77,4.4,16.2,0.558,0.685
在港日數(逐半年),1825+日,848,40,149,4.7,17.6,0.601,0.749
路程變化(米),-600--501m,729,46,145,6.3,19.9,0.78,0.823
路程變化(米),-500--401m,1479,86,278,5.8,18.8,0.711,0.766
路程變化(米),-400--301m,2947,171,574,5.8,19.5,0.732,0.822
路程變化(米),-300--201m,3102,159,568,5.1,18.3,0.694,0.827
路程變化(米),-200--101m,14504,1035,3331,7.1,23.0,0.899,0.969
路程變化(米),-100--1m,2507,100,396,4.0,15.8,0.518,0.685
路程變化(米),0-99m,52936,4889,14344,9.2,27.1,1.174,1.152
路程變化(米),100-199m,1764,133,395,7.5,22.4,0.98,0.972
路程變化(米),200-299m,22784,1680,4878,7.4,21.4,0.946,0.918
路程變化(米),300-399m,325,19,49,5.9,15.1,0.746,0.643
路程變化(米),400-499m,4116,226,757,5.5,18.4,0.69,0.775
路程變化(米),600+m,505,29,86,5.7,17.0,0.701,0.703
近3仗平均名次(逐0.5),1.00-1.50,1897,569,1098,30.0,57.9,3.607,2.352
近3仗平均名次(逐0.5),1.50-2.00,1334,299,670,22.4,50.2,2.726,2.054
近3仗平均名次(逐0.5),2.00-2.50,3925,738,1808,18.8,46.1,2.321,1.909
近3仗平均名次(逐0.5),2.50-3.00,2274,364,957,16.0,42.1,1.979,1.747
近3仗平均名次(逐0.5),3.00-3.50,5871,786,2249,13.4,38.3,1.67,1.602
近3仗平均名次(逐0.5),3.50-4.00,3297,423,1186,12.8,36.0,1.598,1.502
近3仗平均名次(逐0.5),4.00-4.50,7763,858,2517,11.0,32.4,1.385,1.36
近3仗平均名次(逐0.5),4.50-5.00,4141,442,1298,10.7,31.4,1.348,1.325
近3仗平均名次(逐0.5),5.00-5.50,8858,807,2550,9.1,28.8,1.151,1.218
近3仗平均名次(逐0.5),5.50-6.00,4404,379,1171,8.6,26.6,1.091,1.126
近3仗平均名次(逐0.5),6.00-6.50,9427,729,2385,7.7,25.3,0.985,1.078
近3仗平均名次(逐0.5),6.50-7.00,4465,281,981,6.3,22.0,0.802,0.936
近3仗平均名次(逐0.5),7.00-7.50,8749,511,1834,5.8,21.0,0.748,0.897
近3仗平均名次(逐0.5),7.50-8.00,4061,252,773,6.2,19.0,0.794,0.815
近3仗平均名次(逐0.5),8.00-8.50,7859,371,1315,4.7,16.7,0.608,0.72
近3仗平均名次(逐0.5),8.50-9.00,3512,137,577,3.9,16.4,0.503,0.706
近3仗平均名次(逐0.5),9.00-9.50,6423,237,906,3.7,14.1,0.479,0.61
近3仗平均名次(逐0.5),9.50-10.00,2802,85,339,3.0,12.1,0.393,0.523
