rid,date,venue,season,fs,cost,ret,win_pairs,n_in,hit,real
2021-03-17_HV_6,2021-03-17,HV,2020-21,12,60.0,0.0,0,1,0,False
2021-03-17_HV_7,2021-03-17,HV,2020-21,12,60.0,29.53854306097942,1,2,1,False
2021-03-17_HV_8,2021-03-17,HV,2020-21,12,60.0,0.0,0,1,0,False
2021-03-17_HV_9,2021-03-17,HV,2020-21,12,60.0,86.8619684822662,1,2,1,False
2021-03-21_ST_1,2021-03-21,ST,2020-21,14,60.0,40.335601954254365,1,2,1,False
2021-03-21_ST_10,2021-03-21,ST,2020-21,14,60.0,50.38461680294561,1,2,1,False
2021-03-21_ST_2,2021-03-21,ST,2020-21,14,60.0,28.788133104383824,1,2,1,False
2021-03-21_ST_3,2021-03-21,ST,2020-21,11,60.0,38.28749674250512,1,2,1,False
2021-03-21_ST_4,2021-03-21,ST,2020-21,14,60.0,29.15506120863699,1,2,1,False
2021-03-21_ST_5,2021-03-21,ST,2020-21,14,60.0,0.0,0,1,0,False
2021-03-21_ST_6,2021-03-21,ST,2020-21,14,60.0,30.20697029245275,1,2,1,False
2021-03-21_ST_7,2021-03-21,ST,2020-21,13,60.0,21.784133424795343,1,2,1,False
2021-03-21_ST_8,2021-03-21,ST,2020-21,14,60.0,61.85601306435247,1,2,1,False
2021-03-21_ST_9,2021-03-21,ST,2020-21,14,60.0,0.0,0,1,0,False
2021-03-24_HV_1,2021-03-24,HV,2020-21,12,60.0,58.601028170077385,1,2,1,False
2021-03-24_HV_2,2021-03-24,HV,2020-21,12,60.0,0.0,0,1,0,False
2021-03-24_HV_3,2021-03-24,HV,2020-21,12,60.0,0.0,0,1,0,False
2021-03-24_HV_4,2021-03-24,HV,2020-21,12,60.0,38.968555500236,1,2,1,False
2021-03-24_HV_5,2021-03-24,HV,2020-21,12,60.0,45.839377487699885,1,2,1,False
2021-03-24_HV_6,2021-03-24,HV,2020-21,12,60.0,0.0,0,1,0,False
2021-03-24_HV_7,2021-03-24,HV,2020-21,12,60.0,0.0,0,1,0,False
2021-03-24_HV_8,2021-03-24,HV,2020-21,12,60.0,0.0,0,1,0,False
2021-03-24_HV_9,2021-03-24,HV,2020-21,12,60.0,0.0,0,1,0,False
2021-03-28_ST_1,2021-03-28,ST,2020-21,14,60.0,161.86564270165866,3,3,1,False
2021-03-28_ST_10,2021-03-28,ST,2020-21,14,60.0,38.70721564548003,1,2,1,False
2021-03-28_ST_2,2021-03-28,ST,2020-21,14,60.0,0.0,0,1,0,False
2021-03-28_ST_3,2021-03-28,ST,2020-21,10,60.0,15.50284231429185,1,2,1,False
2021-03-28_ST_4,2021-03-28,ST,2020-21,14,60.0,32.97679884230489,1,2,1,False
2021-03-28_ST_5,2021-03-28,ST,2020-21,13,60.0,218.959840439127,3,3,1,False
2021-03-28_ST_6,2021-03-28,ST,2020-21,14,60.0,234.93404238086896,3,3,1,False
2021-03-28_ST_7,2021-03-28,ST,2020-21,14,60.0,0.0,0,1,0,False
2021-03-28_ST_8,2021-03-28,ST,2020-21,14,60.0,36.79690474210574,1,2,1,False
2021-03-28_ST_9,2021-03-28,ST,2020-21,13,60.0,0.0,0,0,0,False
2021-03-31_ST_1,2021-03-31,ST,2020-21,12,60.0,42.8300654952923,1,2,1,False
2021-03-31_ST_2,2021-03-31,ST,2020-21,9,60.0,38.32400643666211,1,2,1,False
2021-03-31_ST_3,2021-03-31,ST,2020-21,11,60.0,47.91071342708245,1,2,1,False
2021-03-31_ST_4,2021-03-31,ST,2020-21,14,60.0,0.0,0,1,0,False
2021-03-31_ST_5,2021-03-31,ST,2020-21,12,60.0,37.021427758323426,1,2,1,False
2021-03-31_ST_6,2021-03-31,ST,2020-21,12,60.0,118.96372597922576,3,3,1,False
2021-03-31_ST_7,2021-03-31,ST,2020-21,11,60.0,51.24429662885876,1,2,1,False
2021-03-31_ST_8,2021-03-31,ST,2020-21,12,60.0,35.932703653120406,1,2,1,False
2021-03-31_ST_9,2021-03-31,ST,2020-21,11,60.0,51.46970029140512,1,2,1,False
2021-04-05_ST_1,2021-04-05,ST,2020-21,14,60.0,60.12257753061367,1,2,1,False
2021-04-05_ST_10,2021-04-05,ST,2020-21,14,60.0,181.8572116020917,3,3,1,False
2021-04-05_ST_2,2021-04-05,ST,2020-21,9,60.0,97.27344566374637,3,3,1,False
2021-04-05_ST_4,2021-04-05,ST,2020-21,14,60.0,27.51315161133313,1,2,1,False
2021-04-05_ST_5,2021-04-05,ST,2020-21,11,60.0,74.29184456892327,3,3,1,False
2021-04-05_ST_6,2021-04-05,ST,2020-21,14,60.0,127.3867115480164,3,3,1,False
2021-04-05_ST_7,2021-04-05,ST,2020-21,14,60.0,70.90331881490205,1,2,1,False
2021-04-05_ST_8,2021-04-05,ST,2020-21,11,60.0,34.00843131733454,1,2,1,False
2021-04-05_ST_9,2021-04-05,ST,2020-21,13,60.0,0.0,0,1,0,False
2021-04-08_HV_1,2021-04-08,HV,2020-21,12,60.0,0.0,0,0,0,False
2021-04-08_HV_2,2021-04-08,HV,2020-21,11,60.0,35.849820878667636,1,2,1,False
2021-04-08_HV_3,2021-04-08,HV,2020-21,9,60.0,0.0,0,1,0,False
2021-04-08_HV_4,2021-04-08,HV,2020-21,9,60.0,53.08426145299245,1,2,1,False
2021-04-08_HV_5,2021-04-08,HV,2020-21,12,60.0,0.0,0,1,0,False
2021-04-08_HV_6,2021-04-08,HV,2020-21,12,60.0,130.273260624551,3,3,1,False
2021-04-08_HV_7,2021-04-08,HV,2020-21,12,60.0,0.0,0,0,0,False
2021-04-08_HV_8,2021-04-08,HV,2020-21,10,60.0,0.0,0,1,0,False
